system   I             system.c:245  al_install_system                [   0.00034] Allegro version: 5.1.12 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00054] Also searching C:\Users\Norbi\Desktop\DubuEngine\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00063] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00065] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.00346] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.01154] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.01240] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.01242] al_display=006ACC60
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.01243] al_display->vt=006ACB80
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01304] found 288 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.01307] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01309] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01311] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01313] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01314] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01316] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.01318] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01320] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.01321] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01323] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.01324] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01326] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.01328] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01330] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.01331] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01333] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.01334] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01336] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.01337] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01339] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01340] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01342] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01343] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01347] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.01349] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01350] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.01352] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01353] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.01355] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01356] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.01357] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01359] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.01360] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01363] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.01364] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01365] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.01367] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01368] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01370] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01371] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01372] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01374] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.01382] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01384] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.01385] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01387] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.01407] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01410] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.01411] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01413] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.01414] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01416] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.01417] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01419] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.01421] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01422] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01424] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01425] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01427] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01428] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.01430] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01431] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.01433] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01434] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.01436] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01437] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.01439] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01440] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.01441] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01443] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.01444] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01446] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.01448] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01450] Score is : 897
